userID,email,gameID,title,status,price,progress
user_unique_1,player_1@steam.ua,40001,Game Vol.1,Installed,0.0,6%
user_unique_2,player_2@steam.ua,40002,Game Vol.2,Installed,29.5,87%
user_unique_3,player_3@steam.ua,40003,Game Vol.3,In Library,0.0,24%
user_unique_4,player_4@steam.ua,40004,Game Vol.4,In Library,0.0,25%
user_unique_5,player_5@steam.ua,40005,Game Vol.5,In Library,29.5,82%
user_unique_6,player_6@steam.ua,40006,Game Vol.6,In Library,9.99,69%
user_unique_7,player_7@steam.ua,40007,Game Vol.7,In Library,29.5,79%
user_unique_8,player_8@steam.ua,40008,Game Vol.8,Running,59.99,99%
user_unique_9,player_9@steam.ua,40009,Game Vol.9,Running,9.99,29%
user_unique_10,player_10@steam.ua,40010,Game Vol.10,Running,0.0,71%
user_unique_11,player_11@steam.ua,40011,Game Vol.11,Running,0.0,1%
user_unique_12,player_12@steam.ua,40012,Game Vol.12,In Library,0.0,87%
user_unique_13,player_13@steam.ua,40013,Game Vol.13,In Library,0.0,99%
user_unique_14,player_14@steam.ua,40014,Game Vol.14,In Library,19.99,63%
user_unique_15,player_15@steam.ua,40015,Game Vol.15,Installed,29.5,21%
user_unique_16,player_16@steam.ua,40016,Game Vol.16,Installed,9.99,93%
user_unique_17,player_17@steam.ua,40017,Game Vol.17,Installed,9.99,22%
user_unique_18,player_18@steam.ua,40018,Game Vol.18,In Library,9.99,17%
user_unique_19,player_19@steam.ua,40019,Game Vol.19,Running,29.5,31%
user_unique_20,player_20@steam.ua,40020,Game Vol.20,Installed,9.99,62%
user_unique_21,player_21@steam.ua,40021,Game Vol.21,In Library,9.99,37%
user_unique_22,player_22@steam.ua,40022,Game Vol.22,In Library,9.99,92%
user_unique_23,player_23@steam.ua,40023,Game Vol.23,Installed,19.99,73%
user_unique_24,player_24@steam.ua,40024,Game Vol.24,Running,9.99,34%
user_unique_25,player_25@steam.ua,40025,Game Vol.25,Installed,19.99,37%
user_unique_26,player_26@steam.ua,40026,Game Vol.26,Installed,0.0,36%
user_unique_27,player_27@steam.ua,40027,Game Vol.27,Installed,59.99,6%
user_unique_28,player_28@steam.ua,40028,Game Vol.28,Running,59.99,86%
user_unique_29,player_29@steam.ua,40029,Game Vol.29,Installed,0.0,9%
user_unique_30,player_30@steam.ua,40030,Game Vol.30,In Library,59.99,57%
user_unique_31,player_31@steam.ua,40031,Game Vol.31,In Library,29.5,58%
user_unique_32,player_32@steam.ua,40032,Game Vol.32,In Library,29.5,58%
user_unique_33,player_33@steam.ua,40033,Game Vol.33,Installed,19.99,72%
user_unique_34,player_34@steam.ua,40034,Game Vol.34,Installed,0.0,8%
user_unique_35,player_35@steam.ua,40035,Game Vol.35,Installed,0.0,0%
user_unique_36,player_36@steam.ua,40036,Game Vol.36,Running,9.99,74%
user_unique_37,player_37@steam.ua,40037,Game Vol.37,In Library,29.5,37%
user_unique_38,player_38@steam.ua,40038,Game Vol.38,Running,19.99,28%
user_unique_39,player_39@steam.ua,40039,Game Vol.39,Running,29.5,74%
user_unique_40,player_40@steam.ua,40040,Game Vol.40,Installed,59.99,35%
user_unique_41,player_41@steam.ua,40041,Game Vol.41,Installed,19.99,71%
user_unique_42,player_42@steam.ua,40042,Game Vol.42,Running,9.99,9%
user_unique_43,player_43@steam.ua,40043,Game Vol.43,Running,59.99,44%
user_unique_44,player_44@steam.ua,40044,Game Vol.44,Installed,29.5,52%
user_unique_45,player_45@steam.ua,40045,Game Vol.45,Installed,9.99,58%
user_unique_46,player_46@steam.ua,40046,Game Vol.46,Installed,9.99,28%
user_unique_47,player_47@steam.ua,40047,Game Vol.47,In Library,0.0,59%
user_unique_48,player_48@steam.ua,40048,Game Vol.48,Running,0.0,70%
user_unique_49,player_49@steam.ua,40049,Game Vol.49,Installed,0.0,100%
user_unique_50,player_50@steam.ua,40050,Game Vol.50,In Library,19.99,71%
user_unique_51,player_51@steam.ua,40051,Game Vol.51,In Library,19.99,4%
user_unique_52,player_52@steam.ua,40052,Game Vol.52,Running,0.0,97%
user_unique_53,player_53@steam.ua,40053,Game Vol.53,Installed,19.99,22%
user_unique_54,player_54@steam.ua,40054,Game Vol.54,Running,0.0,39%
user_unique_55,player_55@steam.ua,40055,Game Vol.55,In Library,29.5,97%
user_unique_56,player_56@steam.ua,40056,Game Vol.56,Installed,19.99,36%
user_unique_57,player_57@steam.ua,40057,Game Vol.57,Running,0.0,46%
user_unique_58,player_58@steam.ua,40058,Game Vol.58,Installed,29.5,65%
user_unique_59,player_59@steam.ua,40059,Game Vol.59,In Library,9.99,30%
user_unique_60,player_60@steam.ua,40060,Game Vol.60,In Library,0.0,97%
user_unique_61,player_61@steam.ua,40061,Game Vol.61,Running,19.99,67%
user_unique_62,player_62@steam.ua,40062,Game Vol.62,In Library,59.99,30%
user_unique_63,player_63@steam.ua,40063,Game Vol.63,Running,29.5,96%
user_unique_64,player_64@steam.ua,40064,Game Vol.64,Running,9.99,17%
user_unique_65,player_65@steam.ua,40065,Game Vol.65,Running,9.99,4%
user_unique_66,player_66@steam.ua,40066,Game Vol.66,Running,29.5,66%
user_unique_67,player_67@steam.ua,40067,Game Vol.67,Installed,19.99,16%
